Dim.1,Dim.2,ID,Type,Firing Pattern,Cluster,Cell_ID,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV
3.410002983,3.580778704,P9_TeNT,Original,Tonic,3,08122022_S1C1,0.168,8.23,140,0.454286,110.28,-82.1235,28.4069,-35.3522,-69.97,8.065
1.108048675,0.666203621,P9_TeNT,Original,Tonic,1,08122022_S1C4,0.291,16.49,100,0.344987,338.662,-169.722,52.7155,-37.5422,-63.73,7.589
-1.635036737,-1.645568179,P9_TeNT,Original,Tonic,1,03232022_S1C1,0.2975,18.77,100,0.250288,515.423,-322.237,66.0742,-46.4271,-65.88,8.582
-0.475470341,1.686304247,P9_TeNT,Original,Tonic,1,03232022_S1C2,0.1375,7.09,140,0.27232,352.74,-223.689,49.5244,-40.6081,-67.21,6.658
1.957175575,-0.756784779,P9_TeNT,Original,Tonic,3,10142022_S1C1,0.4025,11.43,40,0.34021,252.627,-183.8,50.1188,-44.6439,-66.95,6.127
2.687501482,-2.267750473,P9_TeNT,Original,Tonic,3,12172022_S1C1,0.425,14.15,40,0.329275,314.416,-176.761,49.5869,-43.6115,-75.02,2.973
-3.418197679,0.458782924,P9_TeNT,Original,Tonic,1,12172022_S2C1,0.1235,8.5,200,0.244619,581.904,-317.544,69.2966,-47.835,-68.32,9.062
-0.791565169,-1.914410584,P9_TeNT,Original,Tonic,1,12172022_S2C4,0.2643,15.47,80,0.265055,600.675,-259.667,64.7602,-43.3299,-69.64,4.352
0.204165227,-1.558091203,P9_TeNT,Original,Tonic,1,12172022_S3C1,0.2253,13.35,120,0.312941,456.763,-204.918,59.5669,-47.8975,-74.28,4.219
1.775865715,0.467322956,P9_TeNT,Original,Tonic,3,02062024_S1C1,0.1925,9.58,160,0.380201,235.421,-150.951,45.7076,-45.7076,-75.6,4.991
-0.396691849,1.182004361,P9_TeNT,Original,Tonic,1,02062024_S4C1,0.1985,10.54,100,0.289833,424.696,-219.778,55.8752,-37.8237,-64.72,7.503
-3.375832219,-0.489587593,P9_TeNT,Original,Tonic,1,02072024_S1C1,0.1588,7.62,140,0.236699,653.077,-355.086,72.0497,-46.302,-67.68,6.643
-2.210235637,1.733639787,P9_TeNT,Original,Tonic,1,02072024_S3C1,0.197,6.8,100,0.259415,502.126,-304.248,63.853,-37.9802,-62.85,10.634
-0.390279482,2.76566181,P9_TeNT,Original,Tonic,1,02132024_S1C1,0.1705,7.24,100,0.348963,344.136,-195.532,59.0663,-37.1355,-63.45,11.64
2.188371766,-1.408573584,P9_TeNT,Original,Tonic,3,04142024_S1C1,0.2455,15.71,50,0.47535,303.466,-156.426,64.2909,-47.0528,-73.37,6.009
-1.859786128,-0.695682124,P9_TeNT,Original,Tonic,1,12232024_S1C1,0.165,10.71,110,0.266517,466.148,-333.969,68.8273,-45.5512,-71.36,7.1
1.221963819,-1.804249892,P9_TeNT,Original,Tonic,1,12232024_S2C3,0.3058,17.68,70,0.332138,366.818,-205.7,58.8473,-43.7992,-69.03,3.638
4.568360613,-5.13385442,P6_TeNT,Projected1,Tonic,2,03032022_S1C2,0.7025,26.01,40,0.497431,393.808,-113.801,60.966,-47.4952,-71.61,1.762
0.371075046,0.431812457,P6_TeNT,Projected1,Tonic,1,03172022_S1C1,0.1875,8.02,100,0.346472,381.679,-185.364,57.9088,-43.6115,-71.62,6.803
4.367199521,-0.893470891,P6_TeNT,Projected1,Tonic,3,03202022_S1C1,0.2375,15.2,80,0.610606,294.08,-81.3413,48.711,-45.5512,-75.48,2.733
2.731334141,-1.215963059,P6_TeNT,Projected1,Tonic,3,03282022_S1C1,0.3875,16.58,80,0.444349,320.673,-136.09,58.72222,-41.1712,-70.25,4.381
2.460298066,-3.884654212,P6_TeNT,Projected1,Tonic,3,06142022_S1C1,0.3538,19.67,80,0.414156,443.467,-151.733,63.9155,-48.5545,-79.14,0.937
6.908265323,-2.97383414,P6_TeNT,Projected1,Tonic,2,06142022_S1C2,0.5132,34.96,20,0.680373,187.711,-80.5592,46.6744,-39.2316,-69.27,3.738
0.874793112,-2.36943987,P6_TeNT,Projected1,Tonic,1,06142022_S2C1,0.384,9.48,60,0.394322,504.473,-167.375,69.8284,-50.1501,-71.28,4.135
0.316375588,-0.236730588,P6_TeNT,Projected1,Tonic,1,10122022_S3C1,0.258,11.82,60,0.335243,382.461,-195.532,60.5054,-44.8942,-66.85,8.027
2.628549534,1.440590419,P6_TeNT,Projected1,Tonic,3,12312022_S1C1,0.1575,8.24,120,0.465289,240.113,-113.409,47.5221,-39.7321,-75.17,5.529
3.347501445,-3.285628254,P6_TeNT,Projected1,Tonic,3,12312022_S1C3,0.6375,17.36,20,0.41137,346.483,-165.811,59.3792,-43.7679,-71.19,4.312
2.951771182,1.953370741,P6_TeNT,Projected1,Tonic,3,12312022_S2C1,0.3,14.97,80,0.497783,256.538,-108.716,50.0249,-32.693,-64.9,9.063
4.301251238,0.266848009,P6_TeNT,Projected1,Tonic,3,12292023_S1C1,0.291,11.91,60,0.619564,201.789,-94.6375,51.4328,-42.7668,-72.52,5.959
1.70929769,0.595059279,P6_TeNT,Projected1,Tonic,3,12292023_S1C3,0.2449,9.58,80,0.451587,293.298,-144.694,58.8786,-42.9545,-68.79,7.165
1.002184336,-1.906483849,P6_TeNT,Projected1,Tonic,1,12292023_S2C1,0.2583,10.997,100,0.380214,439.556,-181.454,66.0116,-47.3344,-77.8,3.303
6.715879756,-1.550997981,P6_TeNT,Projected1,Tonic,2,01182024_S1C1,0.4833,12.65,20,0.950757,156.426,-86.8162,64.2284,-51.1199,-72.61,5.643
1.747971416,1.550419293,P6_TeNT,Projected1,Tonic,3,01232024_S1C1,0.2635,16.94,80,0.414213,283.802,-129.001,51.444,-37.0272,-62.09,10.147
10.17041113,-2.304200316,P6_TeNT,Projected1,Tonic,2,01192024_S1C1,0.5075,17.75,40,1.32529,174.415,-49.2741,62.7267,-49.0551,-76.2,0.57
6.028637198,-2.798240907,P6_TeNT,Projected1,Tonic,2,01192024_S1C2,0.3965,20.13,50,0.831079,228.381,-96.2018,66.1993,-48.8361,-76.22,2.34
1.816555719,0.591654854,P6_TeNT,Projected1,Tonic,3,03012024_S1C1,0.1575,11.2,120,0.452687,331.186,-113.263,52.6957,-45.0551,-73.75,6.913
2.252560241,1.97326175,P6_TeNT,Projected1,Tonic,3,03132024_S2C1,0.1863,8.96,80,0.402125,233.765,-111.019,40.9988,-40.1545,-70.03,8.86
1.048517657,-0.358417889,P6_TeNT,Projected1,Tonic,1,03142024_S2C1,0.2448,18.67,60,0.418452,472.221,-157.147,63.6404,-39.185,-64.67,6.891
3.919053084,-0.470546891,P4_TeNT,Projected2,Tonic,3,12122022_S1C1,0.3925,10.98,40,0.648458,271.399,-96.2018,59.5982,-46.5523,-66.67,5.885
6.758154581,-0.849495325,P4_TeNT,Projected2,Tonic,2,12292022_S2C1,0.4778,16.18,20,0.762477,124.358,-75.8665,43.7366,-44.2685,-71.43,5.358
6.841290335,1.507479337,P4_TeNT,Projected2,Tonic,2,12272023_S1C1,0.4883,20.97,30,0.822825,111.062,-62.5703,39.7008,-35.0081,-61.56,10.267
8.757325468,-1.42964834,P4_TeNT,Projected2,Tonic,2,12272023_S1C3,0.567,21.37,20,0.980918,140.818,-47.5152,40.7735,-45.8785,-72.24,6.002
6.934911906,-4.080479352,P4_TeNT,Projected2,Tonic,2,12272023_S2C1,0.6585,21.64,30,0.630458,202.571,-91.509,47.8975,-45.0193,-77.62,0.185
5.709166202,-3.436083228,P4_TeNT,Projected2,Tonic,2,01012024_S1C2,0.6273,25,30,0.612112,267.488,-90.7269,56.0942,-43.5489,-70.12,3.104
6.853155903,-0.294114817,P4_TeNT,Projected2,Tonic,2,01012024_S2C2,0.5028,25.54,20,0.845012,183.8,-62.5703,48.7735,-38.95,-65.26,9.343
5.642205391,0.925425442,P4_TeNT,Projected2,Tonic,3,01012024_S2C3,0.4145,13.96,40,0.844223,163.465,-67.263,54.8116,-43.6428,-64.54,9.569
5.710561172,-0.103022949,P4_TeNT,Projected2,Tonic,2,01212024_S1C1,0.3895,23.71,20,0.799131,205.7,-69.6094,56.9702,-39.169,-60.14,6.658
8.74047304,-2.678395869,P4_TeNT,Projected2,Tonic,2,01212024_S1C3,0.6148,32.13,20,0.916378,146.258,-64.9166,48.273,-39.0751,-66.11,2.15
8.156001352,-0.804664938,P4_TeNT,Projected2,Tonic,2,01212024_S2C1,0.6563,29.47,20,0.877169,141.565,-61.7881,43.3612,-35.2583,-64.2,8.365
5.241837837,-1.814572091,P4_TeNT,Projected2,Tonic,2,01212024_S2C3,0.4325,18.65,35,0.621975,249.499,-84.4699,52.5903,-43.2986,-73.12,3.736
3.587914103,0.087120059,P4_TeNT,Projected2,Tonic,3,01212024_S2C5,0.3925,15.21,60,0.559896,295.645,-99.3303,57.0641,-38.6684,-68.56,7.479
7.030849788,-1.503888832,P4_TeNT,Projected2,Tonic,2,04092024_S1C1,0.4415,17.71,20,0.877256,187.66,-58.6085,50.5611,-48.0135,-69.53,3.588
3.319789375,2.301460491,P4_TeNT,Projected2,Phasic,3,11042024_S1C1,0.162,9.92,180,0.645179,220.56,-82.1235,48.6797,-42.0159,-73.36,7.81
4.511595711,4.29264233,P4_TeNT,Projected2,Tonic,3,11042024_S1C3,0.2838,13.9,90,0.825159,257.32,-68.8273,51.245,-29.189,-61.26,13.7
7.510773267,0.991511377,P4_TeNT,Projected2,Tonic,2,11122024_S1C1,0.316,17.33,50,1.05795,168.94,-44.5813,44.2059,-46.0517,-69.55,9.033
3.535378136,1.196730867,P4_TeNT,Projected2,Tonic,3,11122024_S2C2,0.3043,11.52,90,0.567239,223.689,-100.112,51.4328,-38.293,-64.94,5.094
4.054142595,-0.269684031,P4_TeNT,Projected2,Tonic,3,11252024_S1C1,0.2918,16.64,50,0.572302,265.141,-89.9448,53.216,-40.483,-71.98,5.842
6.111291397,-0.362881235,P4_TeNT,Projected2,Tonic,2,11252024_S2C1,0.4358,15.52,70,0.688335,168.158,-71.9558,43.5489,-40.045,-73.84,4.205
5.472785718,-2.915584463,P4_TeNT,Projected2,Tonic,2,12172024_S2C1,0.5258,20.67,40,0.667837,236.985,-83.6877,58.0965,-48.8361,-73.21,4.478
